user_id,fullname,abstracts,conflicts
175,Rudolf Černý,"OBJECTIVES
This study aimed to assess vestibular function in 39 patients who underwent neurectomy for vestibular schwannoma.


METHOD
Semicircular canal reactivity was measured by video head-impulse test using high-frequency passive head acceleration. Response gain was calculated as a ratio between the areas under the eye-velocity curve and the head-velocity curve.


STATISTICAL ANALYSIS
Student t-test was used for to compare quantitative variables. ANOVA was used to test inter-group differences in categoric variables.


RESULTS
In all cases, surgery-side gain on head impulse test was low, with increased gain asymmetry. A subgroup of 7 patients (18%) showed relatively high gain in vestibulo-ocular reflex on the surgery side. Caloric reaction was absent in all cases. These findings indicate that residual vestibular function can be conserved following vestibular schwannoma extirpation.


CONCLUSION
Cases with moderate vestibulo-ocular reflex gain were a subgroup with partial conservation of vestibular nerve fibers. Whether this is a predictor of better functional prognosis remains to be elucidated. Higher gain correlated with less extensive surgery and sparing of the inferior vestibular nerve. Low gain correlated with complete vestibular neurectomy. This information may guide rehabilitation strategy following surgery.",Zuzana Balatková;Silvie Hrubá;Michaela Danková;Petr Volf;Patrik Kutílek;Jan Plzák;Veronika Bandurová;Vladimír Koucký;Eva Mrázkova;Zdeněk Čada
176,Giulia Prando,"Contemporary neuroscience has embraced network science and dynamical systems to study the complex and self-organized structure of the human brain. Despite the developments in non-invasive neuroimaging techniques, a full understanding of the directed interactions in whole brain networks, referred to as effective connectivity, as well as their role in the emergent brain dynamics is still lacking. The main reason is that estimating brain connectivity requires solving a formidable large-scale inverse problem from indirect and noisy measurements. Building on the dynamic causal modelling framework, the present study offers a novel method for estimating whole-brain effective connectivity from resting-state functional magnetic resonance data. To this purpose sparse estimation methods are adapted to infer the parameters of our novel model, which is based on a linearized, region-specific haemodynamic response function. The resulting Algorithm is shown to compare favorably with state-of-the art methods when tested on both synthetic and real data. We also provide a graph-theoretical analysis on the whole-brain effective connectivity estimated using data from a cohort of healthy individuals, which reveals properties such as asymmetry in the connectivity structure as well as the different roles of brain areas in favoring segregation or integration.",Mattia Zorzi;Alessandra Bertoldo;Maurizio Corbetta;Marco Zorzi;Alessandro Chiuso
177,Jonas Bause,"Functional imaging with sub-millimeter spatial resolution is a basic requirement for assessing functional MRI (fMRI) responses across different cortical depths, and is used extensively in the emerging field of laminar fMRI. Such studies seek to investigate the detailed functional organization of the brain and may develop to a new powerful tool for human neuroscience. However, several studies have shown that measurement of laminar fMRI responses can be biased by the image acquisition and data processing strategies. In this work, measurements with three different gradient-echo EPI protocols with a voxel size down to 650 μm isotropic were performed at 9.4 T. We estimated how prospective motion correction can help to improve spatial accuracy by reducing the number of spatial resampling steps in postprocessing. In addition, we demonstrate key requirements for accurate geometric distortion correction to ensure that distortion correction maps are properly aligned to the functional data and that strong variations of distortions near large veins can lead to signal overlays which cannot be corrected for during postprocessing. Furthermore, this study illustrates the spatial extent of bias induced by pial and other larger veins in laminar BOLD experiments. Since these issues under investigation affect studies performed with more conventional spatial resolutions, the methods applied in this work may also help to improve the understanding of the BOLD signal more broadly.",Jonathan R Polimeni;Johannes Stelzer;Myung-Ho In;Philipp Ehses;Pablo Kraemer-Fernandez;Ali Aghaeifar;Eric Lacosse;Rolf Pohmann;Klaus Scheffler
178,Emily Hill,"The neuromodulator adenosine is released during seizure activity to provide negative feedback suppression of on-going activity and to delay the occurrence of the next burst of activity. Adenosine acts via multiple G protein coupled receptors including the A1 receptor (A1R) which inhibits neurotransmitter release and hyperpolarises neuronal membrane potential. The hyperpolarisation is produced, at least in part, by the activation of G protein-activated inwardly rectifying K+ (GIRK) channels. We have used tertiapin-Q (TQ), a potent and selective inhibitor of GIRK channels, to assess the role of GIRK channels in controlling seizure activity in areas CA1 and CA2 of mouse hippocampal slices. TQ (100-300 nM) blocked ∼50% of the adenosine-mediated membrane potential hyperpolarisation of hippocampal CA1 and CA2 neurons. TQ (100 nM) had no significant effect on synaptic transmission in area CA1 of the hippocampus but enhanced transmission in CA2, an effect prevented by blocking A1Rs. TQ (100 nM) increased the frequency of spontaneous activity (induced by removing Mg2+ and increasing K+) and blunted the effects of exogenous adenosine on the suppression of activity. TQ had a significantly greater effect on electrically-stimulated seizure activity induced in CA2 versus that in CA1, producing a greater increase in both the duration and amplitude of the stimulated bursts. This is consistent with the greater A1R density and A1R activation tone in CA2. Thus GIRK channels play a role in the supressing effects of adenosine on seizure activity.",Charlotte Hickman;Rebecca Diez;Mark Wall
179,Qian Cui,"Previous studies have reported abnormalities in static brain activity and connectivity in patients with generalized anxiety disorder (GAD). However, the dynamic patterns of brain connectivity in patients with GAD have not been fully explored. In this study, we aimed to investigate the dynamic local brain functional connectivity in patients with GAD using dynamic regional phase synchrony (DRePS), a newly developed method for assessing intrinsic dynamic local functional connectivity. Seventy-four patients with GAD and 74 healthy controls (HCs) were enrolled and underwent resting-state functional magnetic resonance imaging. Compared to the HCs, patients with GAD exhibited decreased DRePS values in the bilateral caudate, left hippocampus, left anterior insula, left inferior frontal gyrus, and right fusiform gyrus extending to inferior temporal gyrus. The DRePS value of the left hippocampus was negatively correlated with the Hamilton Anxiety Rating Scale scores. Moreover, these abnormal DRePS patterns could be used to distinguish patients with GAD from HCs in an independent sample (18 patients with GAD and 21 HCs). Our findings provide further evidence on brain dysfunction in GAD from the perspective of the dynamic behaviour of local connections, suggesting that patients with GAD may have an insufficient brain adaptation. This study provides new insights into the neurocognitive mechanism of GAD and could potentially inform the diagnosis and treatment of this disease. Future studies on GAD could benefit from combining the DRePS method with task-related functional magnetic resonance imaging and non-invasive brain stimulation.",Yuyan Chen;Qin Tang;Shaoqiang Han;Shan Hu;Yajing Pang;Fengmei Lu;Xiaoyu Nan;Wei Sheng;Qian Shen;Yifeng Wang;Zongling He;Huafu Chen
180,F M Merced-Nieves,"Maternal prenatal stress can adversely impact subsequent child neurodevelopment, but little is known about its effect on cognitive development in infancy. This analysis of 107 infants from a prospective birth cohort assessed whether prenatal stress disrupts sexually dimorphic performance typically observed on a physical reasoning task. Maternal stress was assessed at 8-14 and 33-37 gestational weeks using the Perceived Stress Scale. Stress was defined as: low (scores below the median at both times), medium (scores above the median at one of the two times), and high (scores above the median at both times). At 4.5 months infants saw videos of two events: one impossible and the other possible. In the impossible event a box was placed against a wall without support underneath. In the possible event the box was placed against the wall, supported by the floor. Looking time at each event was recorded via infrared eye-tracking. Previous literature has shown that, at 4.5 months of age, girls typically look significantly longer at the impossible than at the possible event, suggesting that they expect the unsupported box to fall and are surprised when it does not. Boys tend to look equally at the two events suggesting that they do not share this expectation. This sex difference was replicated in the current study. General linear models stratified by sex and adjusted for household income, maternal education, mother's age at birth, infant's age at exam, and order of event presentation revealed that girls whose mothers reported high perceived stress during pregnancy had shorter looking time differences between the impossible and possible events than girls whose mothers reported low perceived stress (β = -7.1; 95% CI: -12.0, -2.2 s; p = 0.006). Similar to boys, girls in the highest stress category spent about the same amount of time looking at each event. For boys, there were no significant looking time differences by maternal stress level. This finding suggests prenatal stress is associated with a delay in the development of physical reasoning in girls.",A Aguiar;K L C Dzwilewski;S Musaad;S A Korrick;S L Schantz
181,O Van Hove,"The relationship between cognitive function and breath-holding time is in need of further investigation. We aim to determine whether cognitive mobile games (CMG) are sensitive enough to assess the link between cognition and breath-holding time in non-trained subjects. Thirty-one healthy subjects participated in this study. A set of 3 short CMG: Must Sort (response control), Rush Back (attention, working memory) and True Color (mental flexibility, inhibition) was used. Apneic time was recorded in three different conditions: Total Lung Capacity (TLC): 88 ± 35 s, Functional Residual Capacity (FRC): 49 ± 17 s, and Residual Volume (RV): 32 ± 14 s. In males, breath-holding time at RV was correlated with True Color (r = 0.48) and Rush Back (r = 0.65) and at TLC with True Color (r = 0.45). In women, breath-holding time at TLC and FRC was inversely correlated with Must Sort (r = -0.59 and r = -0.49 respectively). Males and females appeared to differ in their use of cognitive resources during different breath-holding conditions.",A Van Muylem;V Andrianopoulos;D Leduc;V Feipel;G Deboeck;B Bonnechère
182,Corinne Benakis,"The gut microbiome - the largest reservoir of microorganisms of the human body - is emerging as an important player in neurodevelopment and ageing as well as in brain diseases including stroke, Alzheimer's disease and Parkinson's disease. The growing knowledge on mediators and triggered pathways has advanced our understanding of the interactions along the gut-brain axis. Gut bacteria produce neuroactive compounds and can modulate neuronal function, plasticity and behavior. Furthermore, intestinal microorganisms impact the host's metabolism and immune status which in turn affect neuronal pathways in the enteric and central nervous systems. Here, we discuss the recent insights from human studies and animal models on the bi-directional communication along the microbiome-gut-brain axis in both acute and chronic brain diseases.",Camille Martin-Gallausiaux;Jean-Pierre Trezzi;Philip Melton;Arthur Liesz;Paul Wilmes
183,Jogender Singh,"The nervous and immune systems use bi-directional communication to control host responses against microbial pathogens. Recent studies at the interface of the two systems have highlighted important roles of the nervous system in the regulation of both microbicidal pathways and pathogen avoidance behaviors. Studies on the neural circuits in the simple model host Caenorhabditis elegans have significantly improved our understanding of the roles of conserved neural mechanisms in controlling innate immunity. Moreover, behavioral studies have advanced our understanding of how the nervous system may sense potential pathogens and consequently elicit pathogen avoidance, reducing the risk of infection. In this review, we discuss the neural circuits that regulate both behavioral immunity and molecular immunity in C. elegans.",Alejandro Aballay
184,Luis E Almaguer-Mederos,"BACKGROUND
Spinocerebellar ataxia type 2 (SCA2) is a neurodegenerative disorder due to a CAG-repeat expansion. This work is intended to identify modifiers of the clinical phenotype in SCA2, following up on recent genome-wide association analyses that demonstrated the prominent role of DNA-damage repair and methylation for the severity and progression of polyglutamine diseases. In particular, we assessed the impact of MTHFR as rate-limiting enzyme in DNA methylation pathways, which modulates cerebellar neurotransmission and motor neuron atrophy.


METHODS
A sample of 166 Cuban SCA2 patients and of 130 healthy subjects from the same geographical and ethnic background was selected. The ATXN2 CAG repeat length was determined by PCR followed by polyacrylamide gel electrophoresis. Two amino acid substitutions known to decrease the enzyme activity of MTHFR, encoded by C677T and A1298C polymorphisms, were assessed by PCR/RFLP.


RESULTS
No significant differences were observed for C677T or A1298C alleles or genotype frequencies between cases and controls, confirming that disease risk in SCA2 does not depend on MTHFR activity. However, MTHFR A1298C genotypes showed a significant association with saccade latency.


CONCLUSIONS
\MTHFR A1298C polymorphism is associated with saccade latency in SCA2 patients, but not with disease risk, age at onset or maximal saccade velocity. These results provide evidence that folate-mediated one‑carbon metabolism might be important in the physiopathology of SCA2.",Yasnay Jorge-Sainz;Dennis Almaguer-Gotay;Raúl Aguilera-Rodríguez;Roberto Rodríguez-Labrada;Luis Velázquez-Pérez;Yanetza González-Zaldívar;Dany Cuello-Almarales;Yaimé Vázquez-Mojena;Nalia Canales-Ochoa;Jorge Aguiar-Santiago;Georg Auburger;Patrick MacLeod
185,Landon J Dittel,"BACKGROUND
EAE is an inflammatory autoimmune process of the CNS that resembles multiple sclerosis (MS) and provides a useful animal model for the evaluation of mechanisms of action for potential immunomodulatory therapies. Oral ACTH (adrenocorticotropic hormone) can decrease clinical disease, IL-17 and Th1-like encephalitogenic IFN-γ secretion and increase Treg frequency. The mechanism by which oral ACTH decreases inflammatory proteins and increases Treg cell frequencies is unknown.


OBJECTIVE
IL-6 is a pivotal cytokine in the gut that determines the relative frequencies of Th17 vs Treg cells. We examined whether oral ACTH inhibited IL-6 in the gut associated lymphoid tissue (GALT) in EAE.


DESIGN/METHODS
B6 mice were immunized with MOG peptide 35-55 and gavaged with scrambled ACTH (scrambled melanocyte stimulating hormone [scrambled α-MSH]) or ACTH 1-39 during ongoing disease.


RESULTS
Ingested (oral) ACTH inhibited ongoing clinical disease. In the lamina propria (LP) immune compartment, there were significantly less CD11b + IL-6 and IL-17 producing lymphocytes from ACTH fed mice compared to s-MSH fed mice. There was also a decrease in the frequency of IL-17 and IFN-γ producing spleen cells and an increase in CD4 + FoxP3+ Treg cell frequency in ACTH fed mice compared to s-MSH fed control spleens. There were less IFN-γ producing CNS lymphocytes in ACTH fed mice compared to s-MSH fed control CNS.


CONCLUSIONS
Ingested ACTH inhibits EAE clinical disease by inhibiting IL-6 in the GALT.",Bonnie N Dittel;Staley A Brod
186,Aishah Ibrahim Al Bakr,"OBJECTIVE
To identify timing for initiation of anticoagulation therapy in acute ischemic stroke (AIS) with non-valvular AF as regards safety and efficacy by detecting the rate of intracranial haemorrhage (ICH) and recurrent ischemic symptoms (RIS) during follow-up.


METHODS
This is a prospective observational cohort study conducted at King Fahd Hospital of the University including 120 patients with AIS/TIAs from July 2016 till July 2018. We compared patients who received anticoagulants 1-6 days (Group I (45.83%), 7-14 days, Group II (35%), and > 14 days after the ischemic event (Group III (19.17%). Follow-up was at least 3 months and included identifying ICH or RIS.


RESULT
ICH has occurred in 26.67% (n = 32) patients with a highly statistically significant association with time of treatment (P-value = .01) being higher in group I (n = 17) compared to only 1 case in group III. Subgroup analyses on the ICH patients (n = 32) has revealed statistical significant association with higher NIHSS score (P = .001). Also, the type of anticoagulants used between three groups pointed to an association existence (p = .02), however, the direction of this association cannot be determined. There was no statistical significant association between RIS (occurred in 4.16% (n = 5) with time of treatment (P = .754). Functional outcome at 3-6 months measured by mRS did not differ between 3 groups (worst mRS in group I).


CONCLUSION
Early initiation of anticoagulation after stroke, especially in cases of large infarction, is associated with significant risk of ICH. This risk is highest with warfarin and lowest with DOAC.",Reem Saeed AlOmar;Mona A F Nada;Noman Ishaque;Danah Aljaafari;Kawther Hadhiah;Fahd Ali Al Khmais;Azra Zafar;Rizwana Shahid;Erum Mubashir Shariff;Alaa Mohsin Al Majed;Hanan Khalid Ahabib;Majed Alabdali
187,Emma Murray,"Puberty is a critical period of neural development, and exposure to stress and inflammation during this period is thought to increase vulnerability to mental illness. The gut microbiome influences brain functioning and behavior and impacts mental health. Yet, the role of the gut microbiome during puberty, a period during which mental health conditions tend to onset, remains largely uninvestigated. We first examined age and sex differences in gut microbial changes among CD-1 mice exposed to an immune challenge (lipopolysaccharide; LPS) at 6 weeks of age (during the pubertal stress-sensitive period) or at 10 weeks of age (in adulthood) (Experiment 1). Compared to their adult counterparts, pubertal males and females showed more significant changes in gut microbial composition following LPS treatment, including the depletion of numerous bacterial genera such as Lactobacillus. Given the beneficial effects of Lactobacillus strains on stress and behaviour, we next investigated whether replenishment of the gut with the probiotic Lactobacillus reuteri (L. reuteri) throughout pubertal development would modulate LPS-induced sickness and enduring effects on memory dysfunction, anxiety-like behaviour and stress reactivity in adulthood (Experiment 2). LPS treatment at 6 weeks of age created enduring changes in anxiety-like behaviors among males only. Similarly, only males showed the protective effects of L. reuteri supplementation during puberty in preventing longstanding LPS-induced changes in anxiety-like behavior and stress-induced brain activation. These findings demonstrate that colonizing the gut with L. reuteri during puberty modulates sickness responses and enduring behavioural and neurochemical outcomes in a sex-specific manner. Therefore, colonizing the gut with beneficial microbes may protect against the development of mental illnesses in adulthood.",Kevin B Smith;Karlene S Stoby;Bronwen J Thomas;Michael J Swenson;Lauren A Arber;Emilie Frenette;Nafissa Ismail
188,Cecilie Ammitzbøll,"In patients with multiple sclerosis (MS) and healthy controls (HC) we studied circulating MAIT cells and MAIT cell subtypes expressing CXCR3 and CCR6 by flow cytometry. Absolute numbers of MAIT cells and specifically Tc17-like MAIT cells were lower in patients with primary progressive MS (PPMS) than in controls. Low numbers of Tc17-like MAIT cells were associated with smoking and high concentrations of myelin basic protein in the cerebrospinal fluid. Treatment with alemtuzumab and dimethyl fumarate decreased MAIT cell frequencies. Altogether, we have identified specific MAIT cell subtypes related to PPMS, smoking and demyelination, and MAIT cell effects of MS therapies.",Marina R von Essen;Helene Højsgaard Chow;Oskar McWilliam;Rikke Holm Hansen;Finn Sellebjerg
189,Anne M Verstegen,"BACKGROUND
Our understanding of the neural circuits controlling micturition and continence is constrained by a paucity of techniques for measuring voiding in awake, behaving mice.


NEW METHOD
To facilitate progress in this area, we developed a new, non-invasive assay, micturition video thermography (MVT), using a down-facing thermal camera above mice on a filter paper floor.


RESULTS
Most C57B6/J mice void infrequently, with a stereotyped behavioral sequence, and usually in a corner. The timing of each void is indicated by the warm thermal contrast of freshly voided urine. Over the following 10-15 min, urine cools to ∼3 °C below the ambient temperature and spreads radially in the filter paper. By measuring the area of cool contrast comprising this ""thermal void spot,"" we can derive the initially voided volume. Thermal videos also reveal mouse behaviors including a home-corner preference apart from void spots, and a stereotyped, seconds-long pause while voiding.


COMPARISON WITH EXISTING METHODS AND CONCLUSIONS
MVT is a robust, non-invasive method for measuring the timing, volume, and location of voiding. It improves on an existing technique, the void spot assay, by adding timing information, and unlike the cystometrogram preparation, MVT does not require surgical catheterization. Combining MVT with current neuroscience techniques will improve our understanding of the neural circuits that control continence, which is important for addressing the growing number of patients with urinary incontinence as the population ages.",Margaret M Tish;Luca P Szczepanik;Mark L Zeidel;Joel C Geerling
190,Marinho A Lopes,"OBJECTIVE
The effectiveness of intracranial electroencephalography (iEEG) to inform epilepsy surgery depends on where iEEG electrodes are implanted. This decision is informed by noninvasive recording modalities such as scalp EEG. Herein we propose a framework to interrogate scalp EEG and determine epilepsy lateralization to aid in electrode implantation.


METHODS
We use eLORETA to map source activities from seizure epochs recorded from scalp EEG and consider 15 regions of interest (ROIs). Functional networks are then constructed using the phase-locking value and studied using a mathematical model. By removing different ROIs from the network and simulating their impact on the network's ability to generate seizures in silico, the framework provides predictions of epilepsy lateralization. We consider 15 individuals from the EPILEPSIAE database and study a total of 62 seizures. Results were assessed by taking into account actual intracranial implantations and surgical outcome.


RESULTS
The framework provided potentially useful information regarding epilepsy lateralization in 12 out of the 15 individuals (p=0.02, binomial test).


CONCLUSIONS
Our results show promise for the use of this framework to better interrogate scalp EEG to determine epilepsy lateralization.


SIGNIFICANCE
The framework may aid clinicians in the decision process to define where to implant electrodes for intracranial monitoring.",Leandro Junges;Luke Tait;John R Terry;Eugenio Abela;Mark P Richardson;Marc Goodfellow
191,N Sören Häfker,"Animal life is rhythmic. Here we provide an overview of various rhythmic behaviors, connected environmental factors and endogenous mechanisms. We not only cover terrestrial species, but also highlight aquatic environments with typically complex interconnected rhythms. We further address diel, seasonal and potential lunar rhythms of humans. While we cannot be complete, we aim to emphasize three aspects: First, to raise awareness for the all-encompassing presence of behavioral rhythms and their importance in ecology and evolution. Second, to raise awareness how limited our mechanistic understanding is, besides analyses in a small set of model species. Finally, we discuss how anthropogenic effects can affect behavioral rhythmicity and how this might affect ecosystems in the future, as 'For the times they are a-changin''.",Kristin Tessmar-Raible
192,Farzad Salehpour,"The application of photobiomodulation therapy (PBMT) for neuronal stimulation is studied in different animal models and in humans, and has shown to improve cerebral metabolic activity and blood flow, and provide neuroprotection via anti-inflammatory and antioxidant pathways. Recently, intranasal PBMT (i-PBMT) has become an attractive and potential method for the treatment of brain conditions. Herein, we provide a summary of different intranasal light delivery approaches including a nostril-based portable method and implanted deep-nasal methods for the effective systemic or direct irradiation of the brain. Nostril-based i-PBMT devices are available, using either lasers or light emitting diodes (LEDs), and can be applied either alone or in combination to transcranial devices (the latter applied directly to the scalp) to treat a wide range of brain conditions such as mild cognitive impairment, Alzheimer's disease, Parkinson's disease, cerebrovascular diseases, depression and anxiety as well as insomnia. Evidence shows that nostril-based i-PBMT improves blood rheology and cerebral blood flow, so that, without needing to puncture blood vessels, i-PBMT may have equivalent results to a peripheral intravenous laser irradiation procedure. Up to now, no studies were conducted to implant PBMT light sources deep within the nose in a clinical setting, but simulation studies suggest that deep-nasal PBMT via cribriform plate and sphenoid sinus might be an effective method to deliver light to the ventromedial part of the prefrontal and orbitofrontal cortex. Home-based i-PBMT, using inexpensive LED applicators, has potential as a novel approach for neurorehabilitation; comparative studies also testing sham, and transcranial PBMT are warranted.",Sevda Gholipour-Khalili;Fereshteh Farajdokht;Farzin Kamari;Tomasz Walski;Michael R Hamblin;Joseph O DiDuro;Paolo Cassano
193,Vjekoslav Peitl,"INTRODUCTION
Vitamin D is involved in brain development and functioning, as well as in regulation of neurotrophic factors. Changes in the expression of those factors are possibly responsible for morphologic abnormalities and symptoms in patients suffering from schizophrenia.


OBJECTIVE
The main goal of this research was to investigate the interrelationship between vitamin D, nerve growth factors (NGF, brain-derived neurotrophic factor [BDNF], and neuregulin-1 [NRG1]), and schizophrenia symptom domains.


METHODS
This research included 97 inpatients diagnosed with schizophrenia. Schizophrenia symptoms were assessed using the Positive and Negative Syndrome Scale (PANSS). Blood samples were taken in order to analyze concentrations of vitamin D, BDNF, NRG1, and NGF growth factors. The obtained results were used in a multiple regression analysis.


RESULTS
The vitamin D concentration positively affected the concentration of NRG1 (F = 8.583, p = 0.005) but not the concentration of other investigated growth factors (BDNF and NGF). The clinical characteristics and symptom domains of schizophrenia seemed to be unaffected by the concentrations of vitamin D, BDNF, and NGF, while the NRG1 concentration significantly affected positive symptom domains of schizophrenia (F = 4.927, p = 0.030).


CONCLUSION
The vitamin D concentration positively affected NRG1 levels but not schizophrenia symptomatology as measured by PANSS. The as-sociation between the two could be intermediated via NRG1.",Ante Silić;Ivona Orlović;Branka Vidrih;Danijel Crnković;Dalibor Karlović
194,Carlos H Zapata-Zapata,"INTRODUCTION
The prevalence and incidence of amyotrophic lateral sclerosis (ALS) is not fully established, and this varies depending on the studied population.


OBJECTIVE
To estimate the prevalence/incidence of ALS patients in Antioquia-Colombia.


METHODOLOGY
Observational/descriptive study by reviewing clinical records from 2010 to 2014. Cases with possible, probable and definite ALS were included. To estimate the prevalence/incidence, capture-recapture method was used.


RESULTS
Point prevalence in December 2014 was 4.9/100,000 (95% CI 2.0-7.8), and the incidence was 1.4/100,000/year (95% CI 0.5-2.2). The median survival was 4 years. Spinal-onset was observed in 62.4% of the included patients.


CONCLUSION
Prevalence, incidence and clinical presentation of ALS in Antioquia are similar to most studies reported worldwide. However, prevalence in Antioquia seems to be slightly higher than in other studies from Latin -American countries. This may derive from the inclusion criteria and case detection methodology adopted, but sociodemographic and genetic factors should be considered.",Edwing Franco Dáger;Daniel C Aguirre-Acevedo;Mamede de Carvalho;Juan Solano-Atehortúa
195,Jaime Luna,"INTRODUCTION
Neurological disorders are an important cause of disability and death worldwide. The distribution of these disorders differs significantly in developing countries. Screening questionnaires have been used as an important tool to detect neurological illnesses. This systematic literature review aimed to report the validity of screening questionnaires for neurological disorders in developing countries.


METHODS
The PubMed/MEDLINE, Scopus, Science-Direct, and PASCAL databases were searched. All published studies performed in developing countries were eligible. The risk of bias was assessed using the Quality Assessment of Diagnostic Accuracy Studies version 2 tool. Summary measures of validity were reported (sensitivity and specificity).


RESULTS
Eight hundred and thirty-five records were identified, and 49 articles that met eligibility criteria were selected. The most frequently neurological disorders detected with a screening tool were epilepsy, stroke, and neuropathies (77, 53, and 40%, respectively). Ten screening questionnaires were accessible. Two questionnaires were mainly used to detect neurological disorders: the World Health Organization Protocol for Epidemiologic Studies of Neurologic Disorders and the Ten Questions Questionnaire. The sensitivity of the questionnaires was ranged from 84 to 100% and 56 to 100%, respectively.


CONCLUSION
This systematic review presents evidence that screening questionnaires are valid tools to detect neurological disorders in developing countries. Disease detection provides epidemiological data and the opportunity to implement secondary and tertiary prevention strategies that will contribute to reduce the global burden of neurological disorders.",Charline Leroi;Pierre-Marie Preux;Edgard Brice Ngoungou;Benoît Marin;Farid Boumediene
196,Francisco Donoso,"BACKGROUND
Polyphenols are phytochemicals that have been associated with therapeutic effects in stress-related disorders. Indeed, studies suggest that polyphenols exert significant neuroprotection against multiple neuronal injuries, including oxidative stress and neuroinflammation, but the mechanisms are unclear. Evidence indicates that polyphenol neuroprotection may be mediated by activation of Nrf2, a transcription factor associated with antioxidant and cell survival responses. On the other hand, in stress-linked disorders, Fkbp5 is a novel molecular target for treatment because of its capacity to regulate glucocorticoid receptor sensitivity. However, it is not clear the role Fkbp5 plays in polyphenol-mediated stress modulation. In this study, the neuroprotective effects and mechanisms of the naturally derived polyphenols xanthohumol and quercetin against cytotoxicity induced by corticosterone were investigated in primary cortical cells.


METHODS
Primary cortical cells containing both neurons and astrocytes were pre-incubated with different concentrations of quercetin and xanthohumol to examine the neuroprotective effects of polyphenols on cell viability, morphology, and gene expression following corticosterone insult.


RESULTS
Both polyphenols tested prevented the reduction of cell viability and alterations of neuronal/astrocytic numbers due to corticosterone exposure. Basal levels of Bdnf mRNA were also decreased after corticosterone insult; however, this was reversed by both polyphenol treatments. Interestingly, the Nrf2 inhibitor blocked xanthohumol but not quercetin-mediated neuroprotection. In contrast, we found that Fkbp5 expression is exclusively modulated by quercetin.


CONCLUSIONS
These results suggest that naturally derived polyphenols protect cortical cells against corticosterone-induced cytotoxicity and enhance cell survival via modulation of the Nrf2 pathway and expression of Fkbp5.",Valerie T Ramírez;Anna V Golubeva;Gerard M Moloney;Catherine Stanton;Timothy G Dinan;John F Cryan
197,Michael Schmutzer,"BACKGROUND
Spinal arachnoid cysts (SAC) are rare mostly idiopathic intradural lesions with compression of the spinal cord and clinical signs of radiculo- and/or myelopathy. We retrospectively analyzed radiological and clinical characteristics of patients with surgical treatment of SAC including a subgroup evaluation of long-term outcome and QoL.


METHOD
Patients with SAC treated between 1993 and 2017 were evaluated. Craniocaudal (c.c.) and anteroposterior (a.p) cyst diameters were measured pre- and post-OP. McCormick and Odom score for myelopathy, general outcome and QoL (SF-36, EORTC-QLQ30) were recorded.


RESULTS
A total of 72 patients (female:male = 1.9:1) were analyzed with mean FU of 44.8 ± 60 months (long-term data from 25 patients with FU 78.2 ± 63.9 months). All had surgery due to solitary cysts: 10 cervical (13.9%), 45 thoracic (62.5%), and 17 lumbosacral (23.6%), the majority (79.2%) located dorsally. Main symptoms were gait disturbance (80%), dysesthesia (64%) and paresis (80%). Patients had (hemi-)laminectomy with cyst fenestration in 48 (66.7%) and complete resection in 18 cases (25.0%). Four cases (5.5%) were treated by cystoperitoneal shunt, 2 by marsupialization (2.8%). In total, 11 revisions were necessary in 9/72 (12.5%) patients (one patient underwent 3 revisions). Two patients were reoperated for wound revision/epidural hematoma (each n = 1). Seven patients needed additional cyst wall resection after 1.5-31.0 months due to insufficient cyst shrinking and persistent clinical symptoms after first surgery; most of the cysts were multiple septated and of post-hemorrhagic origin. The mean c.c. size decreased from 5.2 ± 3.7 cm pre-OP to 2.7 ± 3.9 cm (p < 0.05); the a.p. diameter decreased from 1.0 ± 0.5 cm to 0.3 ± 0.3 cm (p < 0.0001) without significant differences between fenestration and resection. McCormick and Odom scores revealed improved symptoms, particularly of gait disturbance, sensory deficits, and general performance. Long-term FU displayed satisfying QoL performance without differences of fenestration or resection.


CONCLUSION
SAC mostly affect women and are predominantly located in the thoracic spine, becoming apparent with clinical myelopathy. For cysts without intracystic septae and compartments, both fenestration and resection of the cyst wall provided significant reduction of cyst size and clinical improvement.",Joerg-Christian Tonn;Stefan Zausinger
198,J-Y Puigbò,"In order to deal with the uncertainty in the world, our brains need to be able to flexibly switch between the exploration of new sensory representations and exploitation of previously acquired ones. This requires forming accurate estimations of what and how much something is expected. While modeling has allowed for the development of several ways to form predictions, how the brain could implement those is still under debate. Here, we recognize acetylcholine as one of the main neuromodulators driving learning based on uncertainty, promoting the exploration of new sensory representations. We identify its interactions with cortical inhibitory interneurons and derive a biophysically grounded computational model able to capture and learn from uncertainty. This model allows us to understand inhibition beyond gain control by suggesting that different interneuron subtypes either encode predictions or estimate their uncertainty, facilitating detection of unexpected cues. Moreover, we show how acetylcholine-like neuromodulation uniquely interacts with global and local sources of inhibition, disrupting perceptual certainty and promoting the rapid acquisition of new perceptual cues. Altogether, our model proposes that cortical acetylcholine favors sensory exploration over exploitation in a cortical microcircuit dedicated to estimating sensory uncertainty.",X D Arsiwalla;M A González-Ballester;P F M J Verschure
